Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"rightClick(findTestObject(""Object Repository/Page_CURA Healthcare Service/textarea_Comment_comment""))",Chrome 124.0.0.0,,,22-04-2024 11:00:55,22-04-2024 11:00:55,0.453s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,22-04-2024 11:00:55,22-04-2024 11:00:55,0.124s,PASSED
,,,,,,,
Test Cases/Demo tests/Test2_ManualMode,Chrome 124.0.0.0,,@sainty,22-04-2024 11:00:55,22-04-2024 11:01:05,9.458s,PASSED
"openBrowser("""")",Chrome 124.0.0.0,,,22-04-2024 11:00:55,22-04-2024 11:00:56,0.718s,PASSED
"navigateToUrl(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 124.0.0.0,,,22-04-2024 11:00:56,22-04-2024 11:00:59,3.251s,PASSED
"setText(findTestObject(""Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 124.0.0.0,,,22-04-2024 11:00:59,22-04-2024 11:01:01,1.096s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 124.0.0.0,,,22-04-2024 11:01:01,22-04-2024 11:01:01,0.370s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Chrome 124.0.0.0,,,22-04-2024 11:01:01,22-04-2024 11:01:02,1.458s,PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/h6_Dashboard""))",Chrome 124.0.0.0,,,22-04-2024 11:01:02,22-04-2024 11:01:05,2.375s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,22-04-2024 11:01:05,22-04-2024 11:01:05,0.109s,PASSED
,,,,,,,
Test Cases/Demo tests/Test3_ScriptMode,Chrome 124.0.0.0,,@sainty,22-04-2024 11:01:05,22-04-2024 11:01:14,8.939s,PASSED
"openBrowser(""https://opensource-demo.orangehrmlive.com/web/index.php/auth/login"")",Chrome 124.0.0.0,,,22-04-2024 11:01:05,22-04-2024 11:01:09,3.760s,PASSED
"setText(findTestObject(""Object Repository/Page_OrangeHRM/input_Username_username""), ""Admin"")",Chrome 124.0.0.0,,,22-04-2024 11:01:09,22-04-2024 11:01:10,1.144s,PASSED
"setEncryptedText(findTestObject(""Page_OrangeHRM/input_Password_password""), ""hUKwJTbofgPU9eVlw/CnDQ=="")",Chrome 124.0.0.0,,,22-04-2024 11:01:10,22-04-2024 11:01:10,0.369s,PASSED
"click(findTestObject(""Page_OrangeHRM/button_Login""))",Chrome 124.0.0.0,,,22-04-2024 11:01:10,22-04-2024 11:01:11,0.322s,PASSED
"verifyElementVisible(findTestObject(""Page_OrangeHRM/h6_Dashboard""))",Chrome 124.0.0.0,,,22-04-2024 11:01:11,22-04-2024 11:01:14,3.159s,PASSED
closeBrowser(),Chrome 124.0.0.0,,,22-04-2024 11:01:14,22-04-2024 11:01:14,0.134s,PASSED
